"Municipality","Type of accommodation establishment","Number of bed-places 2026*"
"WHOLE FINLAND","All accommodation establishments",190878
"Akaa","All accommodation establishments",.
"Alajärvi","All accommodation establishments",.
"Alavieska","All accommodation establishments",.
"Alavus","All accommodation establishments",364
"Asikkala","All accommodation establishments",557
"Aura","All accommodation establishments",.
"Brändö","All accommodation establishments",257
"Eckerö","All accommodation establishments",899
"Enonkoski","All accommodation establishments",.
"Enontekiö","All accommodation establishments",1380
"Espoo","All accommodation establishments",3966
"Eura","All accommodation establishments",.
"Eurajoki","All accommodation establishments",.
"Evijärvi","All accommodation establishments",.
"Finström","All accommodation establishments",331
"Forssa","All accommodation establishments",196
"Föglö","All accommodation establishments",.
"Geta","All accommodation establishments",228
"Haapajärvi","All accommodation establishments",.
"Haapavesi","All accommodation establishments",.
"Hailuoto","All accommodation establishments",.
"Halsua","All accommodation establishments",.
"Hamina","All accommodation establishments",163
"Hammarland","All accommodation establishments",142
"Hankasalmi","All accommodation establishments",.
"Hanko","All accommodation establishments",546
"Harjavalta","All accommodation establishments",.
"Hartola","All accommodation establishments",154
"Hattula","All accommodation establishments",.
"Heinola","All accommodation establishments",2612
"Heinävesi","All accommodation establishments",278
"Helsinki","All accommodation establishments",27798
"Hirvensalmi","All accommodation establishments",.
"Hollola","All accommodation establishments",307
"Huittinen","All accommodation establishments",.
"Humppila","All accommodation establishments",.
"Hyrynsalmi","All accommodation establishments",.
"Hyvinkää","All accommodation establishments",.
"Hämeenkyrö","All accommodation establishments",.
"Hämeenlinna","All accommodation establishments",1550
"Ii","All accommodation establishments",131
"Iisalmi","All accommodation establishments",541
"Iitti","All accommodation establishments",202
"Ikaalinen","All accommodation establishments",594
"Ilmajoki","All accommodation establishments",.
"Ilomantsi","All accommodation establishments",230
"Imatra","All accommodation establishments",1631
"Inari","All accommodation establishments",5901
"Inkoo","All accommodation establishments",.
"Isojoki","All accommodation establishments",.
"Isokyrö","All accommodation establishments",83
"Janakkala","All accommodation establishments",167
"Joensuu","All accommodation establishments",1526
"Jomala","All accommodation establishments",91
"Joroinen","All accommodation establishments",.
"Joutsa","All accommodation establishments",77
"Juuka","All accommodation establishments",145
"Juupajoki","All accommodation establishments",.
"Juva","All accommodation establishments",.
"Jyväskylä","All accommodation establishments",3648
"Jämijärvi","All accommodation establishments",81
"Jämsä","All accommodation establishments",4517
"Järvenpää","All accommodation establishments",.
"Kaarina","All accommodation establishments",133
"Kaavi","All accommodation establishments",.
"Kajaani","All accommodation establishments",736
"Kalajoki","All accommodation establishments",2915
"Kangasala","All accommodation establishments",138
"Kangasniemi","All accommodation establishments",.
"Kankaanpää","All accommodation establishments",268
"Kannonkoski","All accommodation establishments",.
"Kannus","All accommodation establishments",.
"Karkkila","All accommodation establishments",.
"Karstula","All accommodation establishments",.
"Karvia","All accommodation establishments",.
"Kaskinen","All accommodation establishments",.
"Kauhajoki","All accommodation establishments",169
"Kauhava","All accommodation establishments",774
"Kauniainen","All accommodation establishments",.
"Kaustinen","All accommodation establishments",149
"Keitele","All accommodation establishments",.
"Kemi","All accommodation establishments",746
"Kemijärvi","All accommodation establishments",782
"Keminmaa","All accommodation establishments",.
"Kemiönsaari","All accommodation establishments",408
"Kempele","All accommodation establishments",363
"Kerava","All accommodation establishments",.
"Keuruu","All accommodation establishments",491
"Kihniö","All accommodation establishments",.
"Kinnula","All accommodation establishments",.
"Kirkkonummi","All accommodation establishments",426
"Kitee","All accommodation establishments",339
"Kittilä","All accommodation establishments",4270
"Kiuruvesi","All accommodation establishments",.
"Kivijärvi","All accommodation establishments",.
"Kokemäki","All accommodation establishments",135
"Kokkola","All accommodation establishments",779
"Kolari","All accommodation establishments",4134
"Konnevesi","All accommodation establishments",.
"Kontiolahti","All accommodation establishments",159
"Kotka","All accommodation establishments",1221
"Kouvola","All accommodation establishments",1304
"Kristiinankaupunki","All accommodation establishments",179
"Kruunupyy","All accommodation establishments",.
"Kuhmo","All accommodation establishments",289
"Kuhmoinen","All accommodation establishments",.
"Kumlinge","All accommodation establishments",.
"Kuopio","All accommodation establishments",4302
"Kuortane","All accommodation establishments",.
"Kurikka","All accommodation establishments",318
"Kustavi","All accommodation establishments",.
"Kuusamo","All accommodation establishments",5973
"Kyyjärvi","All accommodation establishments",.
"Kärkölä","All accommodation establishments",.
"Kärsämäki","All accommodation establishments",.
"Kökar","All accommodation establishments",285
"Lahti","All accommodation establishments",1917
"Laihia","All accommodation establishments",.
"Laitila","All accommodation establishments",.
"Lapinjärvi","All accommodation establishments",.
"Lapinlahti","All accommodation establishments",.
