"Alue","Tieluokka","Päällyste","Vuosi","Tiepituus"
"MA1 MANNER-SUOMI","Yhteensä","Yhteensä","2024",77827
"MK01 Uusimaa","Yhteensä","Yhteensä","2024",4547
"Espoo","Yhteensä","Yhteensä","2024",156
"Helsinki","Yhteensä","Yhteensä","2024",76
"Hyvinkää","Yhteensä","Yhteensä","2024",167
"Järvenpää","Yhteensä","Yhteensä","2024",30
"Karkkila","Yhteensä","Yhteensä","2024",111
"Kauniainen","Yhteensä","Yhteensä","2024",2
"Kerava","Yhteensä","Yhteensä","2024",24
"Kirkkonummi","Yhteensä","Yhteensä","2024",188
"Lohja","Yhteensä","Yhteensä","2024",519
"Mäntsälä","Yhteensä","Yhteensä","2024",324
"Nurmijärvi","Yhteensä","Yhteensä","2024",261
"Pornainen","Yhteensä","Yhteensä","2024",58
"Sipoo","Yhteensä","Yhteensä","2024",190
"Siuntio","Yhteensä","Yhteensä","2024",113
"Tuusula","Yhteensä","Yhteensä","2024",148
"Vantaa","Yhteensä","Yhteensä","2024",133
"Vihti","Yhteensä","Yhteensä","2024",293
"Lapinjärvi","Yhteensä","Yhteensä","2024",136
"Loviisa","Yhteensä","Yhteensä","2024",357
"Askola","Yhteensä","Yhteensä","2024",121
"Myrskylä","Yhteensä","Yhteensä","2024",84
"Porvoo","Yhteensä","Yhteensä","2024",310
"Pukkila","Yhteensä","Yhteensä","2024",64
"Hanko","Yhteensä","Yhteensä","2024",52
"Inkoo","Yhteensä","Yhteensä","2024",145
"Raasepori","Yhteensä","Yhteensä","2024",484
"MK02 Varsinais-Suomi","Yhteensä","Yhteensä","2024",4805
"Aura","Yhteensä","Yhteensä","2024",57
"Koski Tl","Yhteensä","Yhteensä","2024",84
"Loimaa","Yhteensä","Yhteensä","2024",425
"Marttila","Yhteensä","Yhteensä","2024",74
"Oripää","Yhteensä","Yhteensä","2024",69
"Pöytyä","Yhteensä","Yhteensä","2024",336
"Salo","Yhteensä","Yhteensä","2024",890
"Somero","Yhteensä","Yhteensä","2024",280
"Kaarina","Yhteensä","Yhteensä","2024",109
"Lieto","Yhteensä","Yhteensä","2024",192
"Masku","Yhteensä","Yhteensä","2024",113
"Mynämäki","Yhteensä","Yhteensä","2024",214
"Naantali","Yhteensä","Yhteensä","2024",104
"Nousiainen","Yhteensä","Yhteensä","2024",122
"Paimio","Yhteensä","Yhteensä","2024",128
"Raisio","Yhteensä","Yhteensä","2024",33
"Rusko","Yhteensä","Yhteensä","2024",55
"Sauvo","Yhteensä","Yhteensä","2024",106
"Turku","Yhteensä","Yhteensä","2024",109
"Kustavi","Yhteensä","Yhteensä","2024",81
"Laitila","Yhteensä","Yhteensä","2024",229
"Pyhäranta","Yhteensä","Yhteensä","2024",56
"Taivassalo","Yhteensä","Yhteensä","2024",69
"Uusikaupunki","Yhteensä","Yhteensä","2024",223
"Vehmaa","Yhteensä","Yhteensä","2024",95
"Kemiönsaari","Yhteensä","Yhteensä","2024",228
"Parainen","Yhteensä","Yhteensä","2024",323
"MK05 Kanta-Häme","Yhteensä","Yhteensä","2024",2224
"Forssa","Yhteensä","Yhteensä","2024",112
"Humppila","Yhteensä","Yhteensä","2024",70
"Jokioinen","Yhteensä","Yhteensä","2024",118
"Tammela","Yhteensä","Yhteensä","2024",229
"Ypäjä","Yhteensä","Yhteensä","2024",94
"Hattula","Yhteensä","Yhteensä","2024",142
"Hämeenlinna","Yhteensä","Yhteensä","2024",717
"Janakkala","Yhteensä","Yhteensä","2024",265
"Hausjärvi","Yhteensä","Yhteensä","2024",175
"Loppi","Yhteensä","Yhteensä","2024",233
"Riihimäki","Yhteensä","Yhteensä","2024",70
"MK07 Päijät-Häme","Yhteensä","Yhteensä","2024",2464
"Asikkala","Yhteensä","Yhteensä","2024",225
"Hartola","Yhteensä","Yhteensä","2024",218
"Heinola","Yhteensä","Yhteensä","2024",260
"Hollola","Yhteensä","Yhteensä","2024",368
"Iitti","Yhteensä","Yhteensä","2024",239
"Kärkölä","Yhteensä","Yhteensä","2024",120
"Lahti","Yhteensä","Yhteensä","2024",245
"Orimattila","Yhteensä","Yhteensä","2024",359
"Padasjoki","Yhteensä","Yhteensä","2024",195
"Sysmä","Yhteensä","Yhteensä","2024",235
"MK08 Kymenlaakso","Yhteensä","Yhteensä","2024",1761
"Hamina","Yhteensä","Yhteensä","2024",222
"Kotka","Yhteensä","Yhteensä","2024",104
"Miehikkälä","Yhteensä","Yhteensä","2024",134
"Pyhtää","Yhteensä","Yhteensä","2024",145
"Virolahti","Yhteensä","Yhteensä","2024",171
"Kouvola","Yhteensä","Yhteensä","2024",984
"MK09 Etelä-Karjala","Yhteensä","Yhteensä","2024",2134
"Imatra","Yhteensä","Yhteensä","2024",64
"Parikkala","Yhteensä","Yhteensä","2024",284
"Rautjärvi","Yhteensä","Yhteensä","2024",186
"Ruokolahti","Yhteensä","Yhteensä","2024",294
"Lappeenranta","Yhteensä","Yhteensä","2024",625
"Lemi","Yhteensä","Yhteensä","2024",88
"Luumäki","Yhteensä","Yhteensä","2024",260
"Savitaipale","Yhteensä","Yhteensä","2024",205
"Taipalsaari","Yhteensä","Yhteensä","2024",127
"MK04 Satakunta","Yhteensä","Yhteensä","2024",3153
"Jämijärvi","Yhteensä","Yhteensä","2024",94
"Kankaanpää","Yhteensä","Yhteensä","2024",340
"Karvia","Yhteensä","Yhteensä","2024",169
"Siikainen","Yhteensä","Yhteensä","2024",125
"Harjavalta","Yhteensä","Yhteensä","2024",55
"Huittinen","Yhteensä","Yhteensä","2024",300
"Kokemäki","Yhteensä","Yhteensä","2024",232
"Merikarvia","Yhteensä","Yhteensä","2024",166
"Nakkila","Yhteensä","Yhteensä","2024",93
"Pomarkku","Yhteensä","Yhteensä","2024",100
"Pori","Yhteensä","Yhteensä","2024",461
"Ulvila","Yhteensä","Yhteensä","2024",159
"Eura","Yhteensä","Yhteensä","2024",252
"Eurajoki","Yhteensä","Yhteensä","2024",205
"Rauma","Yhteensä","Yhteensä","2024",199
"Säkylä","Yhteensä","Yhteensä","2024",203
"MK06 Pirkanmaa","Yhteensä","Yhteensä","2024",5231
"Akaa","Yhteensä","Yhteensä","2024",152
"Urjala","Yhteensä","Yhteensä","2024",206
"Valkeakoski","Yhteensä","Yhteensä","2024",148
"Punkalaidun","Yhteensä","Yhteensä","2024",154
"Sastamala","Yhteensä","Yhteensä","2024",698
"Ikaalinen","Yhteensä","Yhteensä","2024",236
"Kihniö","Yhteensä","Yhteensä","2024",123
"Parkano","Yhteensä","Yhteensä","2024",256
"Hämeenkyrö","Yhteensä","Yhteensä","2024",252
"Kangasala","Yhteensä","Yhteensä","2024",299
"Kuhmoinen","Yhteensä","Yhteensä","2024",196
"Lempäälä","Yhteensä","Yhteensä","2024",139
"Nokia","Yhteensä","Yhteensä","2024",154
"Orivesi","Yhteensä","Yhteensä","2024",320
"Pirkkala","Yhteensä","Yhteensä","2024",37
"Pälkäne","Yhteensä","Yhteensä","2024",238
"Tampere","Yhteensä","Yhteensä","2024",220
"Vesilahti","Yhteensä","Yhteensä","2024",115
"Ylöjärvi","Yhteensä","Yhteensä","2024",372
"Juupajoki","Yhteensä","Yhteensä","2024",113
"Mänttä-Vilppula","Yhteensä","Yhteensä","2024",196
"Ruovesi","Yhteensä","Yhteensä","2024",240
"Virrat","Yhteensä","Yhteensä","2024",367
"MK13 Keski-Suomi","Yhteensä","Yhteensä","2024",5121
"Joutsa","Yhteensä","Yhteensä","2024",266
"Luhanka","Yhteensä","Yhteensä","2024",57
"Hankasalmi","Yhteensä","Yhteensä","2024",233
"Jyväskylä","Yhteensä","Yhteensä","2024",491
"Laukaa","Yhteensä","Yhteensä","2024",276
"Muurame","Yhteensä","Yhteensä","2024",65
"Petäjävesi","Yhteensä","Yhteensä","2024",153
"Toivakka","Yhteensä","Yhteensä","2024",136
"Uurainen","Yhteensä","Yhteensä","2024",120
"Jämsä","Yhteensä","Yhteensä","2024",609
"Keuruu","Yhteensä","Yhteensä","2024",360
"Multia","Yhteensä","Yhteensä","2024",175
"Kannonkoski","Yhteensä","Yhteensä","2024",135
"Karstula","Yhteensä","Yhteensä","2024",259
"Kinnula","Yhteensä","Yhteensä","2024",81
"Kivijärvi","Yhteensä","Yhteensä","2024",106
"Kyyjärvi","Yhteensä","Yhteensä","2024",121
"Pihtipudas","Yhteensä","Yhteensä","2024",263
"Saarijärvi","Yhteensä","Yhteensä","2024",407
"Viitasaari","Yhteensä","Yhteensä","2024",386
"Konnevesi","Yhteensä","Yhteensä","2024",151
"Äänekoski","Yhteensä","Yhteensä","2024",272
"MK14 Etelä-Pohjanmaa","Yhteensä","Yhteensä","2024",4717
"Alajärvi","Yhteensä","Yhteensä","2024",342
"Evijärvi","Yhteensä","Yhteensä","2024",138
"Lappajärvi","Yhteensä","Yhteensä","2024",106
"Soini","Yhteensä","Yhteensä","2024",174
"Vimpeli","Yhteensä","Yhteensä","2024",111
"Alavus","Yhteensä","Yhteensä","2024",399
"Kuortane","Yhteensä","Yhteensä","2024",155
"Ähtäri","Yhteensä","Yhteensä","2024",241
"Ilmajoki","Yhteensä","Yhteensä","2024",254
"Isokyrö","Yhteensä","Yhteensä","2024",173
"Kauhava","Yhteensä","Yhteensä","2024",505
"Kurikka","Yhteensä","Yhteensä","2024",605
"Lapua","Yhteensä","Yhteensä","2024",250
"Seinäjoki","Yhteensä","Yhteensä","2024",522
"Isojoki","Yhteensä","Yhteensä","2024",123
"Karijoki","Yhteensä","Yhteensä","2024",69
"Kauhajoki","Yhteensä","Yhteensä","2024",352
"Teuva","Yhteensä","Yhteensä","2024",199
"MK15 Pohjanmaa","Yhteensä","Yhteensä","2024",2656
"Kruunupyy","Yhteensä","Yhteensä","2024",244
"Luoto","Yhteensä","Yhteensä","2024",45
"Pedersören kunta","Yhteensä","Yhteensä","2024",234
"Pietarsaari","Yhteensä","Yhteensä","2024",30
"Uusikaarlepyy","Yhteensä","Yhteensä","2024",248
"Kaskinen","Yhteensä","Yhteensä","2024",6
"Kristiinankaupunki","Yhteensä","Yhteensä","2024",229
"Närpiö","Yhteensä","Yhteensä","2024",395
"Korsnäs","Yhteensä","Yhteensä","2024",84
"Laihia","Yhteensä","Yhteensä","2024",201
"Maalahti","Yhteensä","Yhteensä","2024",171
"Mustasaari","Yhteensä","Yhteensä","2024",345
"Vaasa","Yhteensä","Yhteensä","2024",149
"Vöyri","Yhteensä","Yhteensä","2024",276
"MK10 Etelä-Savo","Yhteensä","Yhteensä","2024",4416
"Hirvensalmi","Yhteensä","Yhteensä","2024",180
"Kangasniemi","Yhteensä","Yhteensä","2024",378
"Mikkeli","Yhteensä","Yhteensä","2024",957
"Mäntyharju","Yhteensä","Yhteensä","2024",461
"Pertunmaa","Yhteensä","Yhteensä","2024",0
"Puumala","Yhteensä","Yhteensä","2024",249
"Juva","Yhteensä","Yhteensä","2024",396
"Pieksämäki","Yhteensä","Yhteensä","2024",552
"Enonkoski","Yhteensä","Yhteensä","2024",101
"Rantasalmi","Yhteensä","Yhteensä","2024",219
"Savonlinna","Yhteensä","Yhteensä","2024",737
"Sulkava","Yhteensä","Yhteensä","2024",187
"MK11 Pohjois-Savo","Yhteensä","Yhteensä","2024",6153
"Kaavi","Yhteensä","Yhteensä","2024",185
"Rautavaara","Yhteensä","Yhteensä","2024",268
"Tuusniemi","Yhteensä","Yhteensä","2024",229
"Kuopio","Yhteensä","Yhteensä","2024",1313
"Siilinjärvi","Yhteensä","Yhteensä","2024",187
"Rautalampi","Yhteensä","Yhteensä","2024",217
"Suonenjoki","Yhteensä","Yhteensä","2024",242
"Tervo","Yhteensä","Yhteensä","2024",142
"Vesanto","Yhteensä","Yhteensä","2024",172
"Joroinen","Yhteensä","Yhteensä","2024",219
"Leppävirta","Yhteensä","Yhteensä","2024",349
"Varkaus","Yhteensä","Yhteensä","2024",130
"Iisalmi","Yhteensä","Yhteensä","2024",371
"Keitele","Yhteensä","Yhteensä","2024",169
"Kiuruvesi","Yhteensä","Yhteensä","2024",467
"Lapinlahti","Yhteensä","Yhteensä","2024",468
"Pielavesi","Yhteensä","Yhteensä","2024",379
"Sonkajärvi","Yhteensä","Yhteensä","2024",358
