id,gml_id,natcode,namefin,nameswe,area
1,1601110001,01,Uusimaa,Nyland,9109841425
2,1601110027,15,Pohjanmaa,Österbotten,7380547465
3,1601110035,19,Lappi,Lappland,94206757384
4,1601110011,07,Päijät-Häme,Päijänne-Tavastland,5785648660
5,1601110037,21,Ahvenanmaan maakunta,Landskapet Åland,1451696825
6,1601110025,14,Etelä-Pohjanmaa,Södra Österbotten,13864807779
7,1601110031,17,Pohjois-Pohjanmaa,Norra Österbotten,37217985022
8,1601110003,02,Varsinais-Suomi,Egentliga Finland,10574665809
9,1601110009,06,Pirkanmaa,Birkaland,13438493164
10,1601110023,13,Keski-Suomi,Mellersta Finland,16257952702
11,1601110033,18,Kainuu,Kajanaland,20517909501
12,1601110015,09,Etelä-Karjala,Södra Karelen,5411988843
13,1601110007,05,Kanta-Häme,Egentliga Tavastland,5253323109
14,1601110017,10,Etelä-Savo,Södra Savolax,12935584437
15,1601110013,08,Kymenlaakso,Kymmenedalen,4622479273
16,1601110029,16,Keski-Pohjanmaa,Mellersta Österbotten,5050363413
17,1601110019,11,Pohjois-Savo,Norra Savolax,17589162923
18,1601110021,12,Pohjois-Karjala,Norra Karelen,19142115307
19,1601110005,04,Satakunta,Satakunta,7865764556
